subj_id,PROLIFIC_PID,nonpretend,judge,pretend,points,bonus
64,61210b5c3f465c51a7f4166a,67,20,NA,NA,NA
65,5a9262251eda410001360b2c,63,20,0,83,0
66,604d8f415e948938fd60b536,54,20,NA,NA,NA
67,5fbb2540b981f7c1e0fca5ff,64,30,10,104,1
68,5fa4c21a04bc5912180291bc,72,20,10,102,1
69,603862f99e00971c55fe0874,73,10,10,93,0
70,600e661d49a93a6ec48ebb45,60,30,20,110,1
71,62964d27c2b2866faa677493,64,20,10,94,0
72,5a135875074b1900012527a9,59,20,10,89,0
73,57dd186e6598aa0001992616,69,10,20,99,0
74,60fbed5d2532f7768e7b5a29,54,30,50,134,1
75,62730c9848db9da9ff3bf670,70,30,10,110,1
76,5f7a28b8bedcf2112ebd1289,61,10,NA,NA,NA
77,61575f1257634f8182c29c16,72,10,10,92,0
78,628277d1d5efc2ba7e3f96ed,68,20,30,118,1
79,5e9c8deb90dd470441c7f98e,67,10,20,97,0
80,628f76b86068bc13224921ce,54,30,20,104,1
82,62734ce38db73cd5bd81a36f,63,30,20,113,1
83,5d615f7632cfbd001b1b6dcb,72,10,NA,NA,NA
84,5dc483cf74939e34e55c3619,66,30,10,106,1
86,58adfc6e7cf56d0001f931a2,59,20,0,79,0
87,5e9ce0a46976671ceda6082a,68,20,30,118,1
88,60f4e3ab507bbb123f866e88,58,40,20,118,1
89,58f3760092ac81000154f8af,65,40,20,125,1
90,5e8ccdf9b3423e07b04b4853,63,10,10,83,0
91,580a494da38f4a00012ebfdc,61,40,20,121,1
92,5d8d12f6d88e3a00142c9751,61,10,10,81,0
93,5a7a1973000dab00018c3410,61,20,50,131,1
94,5fb3d71c3144730009fe4a7b,64,30,0,94,0
95,60eb1a7c95641da67ae7d611,57,50,10,117,1
96,5e2926d80beb030ede110e67,64,40,10,114,1
97,5ea0f8b65669f80008176bec,60,40,0,100,1
98,5f92e6e89b8ab203b90d1325,70,30,40,140,1
99,5d7ff85ffec5620017b07c40,61,30,10,101,1
100,627432e762e042e1335bcf19,59,30,10,99,0
101,5e437d7404eaba215eafbd2a,56,10,0,66,0
102,62162ab583fc823e78c025e2,65,30,10,105,1
103,60c57903a2db0249ed2779b1,72,10,20,102,1
104,5ed559e5afbd830e2117ed55,60,10,NA,NA,NA
105,5e9b443223881d04be740737,73,40,10,123,1
106,5a78e410ae9a0b0001a97274,69,30,10,109,1
108,6151e70a336a52b8af712d41,45,90,20,155,1
108,56f9364e895094000c8f4967,62,90,20,172,1
109,5eac8b777b60c8129709fc10,64,30,20,114,1
110,601e13b872774f263d64acac,59,10,20,89,0
112,61151fdceebe67102a0983ad,69,20,30,119,1
113,611ff6cc935b6de3fff0b896,64,20,20,104,1
115,5e12b8f31e2e589287ce63ae,63,40,20,123,1
117,5be08e69610cba000151f1f7,67,30,10,107,1
118,59e7477e3e4b5a00016aa4d2,61,20,0,81,0
119,5d8108c0a6d2bf001afdb2d9,38,40,20,98,0
